Nome,tipo
MARCO ANTONIO MEUS DOS SANTOS                                                   ,0
FCOSERAFIM                                                                      ,0
TESTE ONLINE                                                                    ,0
TESTE                                                                           ,0
TANIA ESPOSA                                                                    ,0
TLIMA                                                                           ,0
DEUSALOIRE                                                                      ,0
HELIO FALECEU HA HUM ANO                                                        ,0
JOSE CORINTIANO CARLOS                                                          ,0
UJJJJJJJJJJJJJJJJJJJJ                                                           ,0
FELHOS                                                                          ,0
FRA                                                                             ,0
DELVANE                                                                         ,0
EDILSONBOLCOMBR                                                                 ,0
ELCENIR                                                                         ,0
VANDERLEYVARJAO                                                                 ,0
FALECIDO                                                                        ,0
KATLLENBUCK                                                                     ,0
FULANO                                                                          ,0
CRISTIANE MARTINS MOSCHETTA CU                                                  ,0
ANACLEIDEDEPAULANASCIMENTO                                                      ,0
LUIZ CARLOS NAO QUER QUE LIGUEM                                                 ,0
TON                                                                             ,0
MACIELIBAMAHOTMAILCOM                                                           ,0
LUCIANOVASCONCELOS                                                              ,0
FALECIDO                                                                        ,0
BARBARATIERSCHNABEL                                                             ,0
CASACASA                                                                        ,0
GOIS                                                                            ,0
M                                                                               ,0
ROSYLABCHOTMAILCOM                                                              ,0
DESTRUCTUS                                                                      ,0
DULCINEADEFATIMAMARTINSCOSTA                                                    ,0
DENISEPRADO                                                                     ,0
PATRICIACUSTODIODAROCHA                                                         ,0
ADRIANOPANASSOHOTMAILCOM                                                        ,0
PRYSCILLAPBMHOTMAILCOM                                                          ,0
MARCOSDUARTE                                                                    ,0
FALECIDO                                                                        ,0
NILTONRIBEIROFILHO                                                              ,0
SONIAMARIADASILVA                                                               ,0
JOSEANTONIODEJESUSRODRIGUES                                                     ,0
ALESSANDRA FLAVIA DE SALLES CU                                                  ,0
ELAINEGABRIELATOFALETENASCIMENT                                                 ,0
POVOA                                                                           ,0
STEFANY BOMBOM                                                                  ,0
SONIAMARIAFERNANDESDESOUZA                                                      ,0
CL FALECIDA NAO FALAR                                                           ,0
PEREIRA                                                                         ,0
FABIOROGERIOSOBREIRA                                                            ,0
CLIENTE FALECIDA NAO FALAR                                                      ,0
BUCETA ROLLA E PONBA DE CESAR                                                   ,0
ROLLA NO MEU CU EU CHUPO ROLLA                                                  ,0
EDERSONPIZZAHOTMAILCOM                                                          ,0
KARLAPIUHOTMAILCOM                                                              ,0
LUCIANACARATO                                                                   ,0
TESTE TESTE                                                                     ,0
ANA E MARIDO DESEMPREGADOS                                                      ,0
GUSTAVOAUGUSTOMACIELDECARVALHO                                                  ,0
NADISON                                                                         ,0
TESTE SEIS                                                                      ,0
JESUSTADEUDEOLIVEIRAMACIEL                                                      ,0
FALECIDO                                                                        ,0
NARLEY                                                                          ,0
NAIAD                                                                           ,0
PEDROBELODESOUAS                                                                ,0
CAROLAINESTARHOTMAILCOM                                                         ,0
REGINAMARZAGAO                                                                  ,0
PIERREGONCALVESFIGUEIRA                                                         ,0
FALECIDO                                                                        ,0
FALECIDA                                                                        ,0
GEUDSON                                                                         ,0
TESTE ONLINE                                                                    ,0
FALECIDO                                                                        ,0
FALECIDO FALECIDO                                                               ,0
FALECIDO FALECIDO                                                               ,0
SOUZAMAR                                                                        ,0
MENEZES                                                                         ,0
POLIANAMORAISHOTMAILCOM                                                         ,0
LUCIOMACIELSOSSAI                                                               ,0
NELSONMOUTINHO                                                                  ,0
MARCIODESOUZALIMA                                                               ,0
ODIRLEY                                                                         ,0
GILLESMARCOSHOTMAILCOM                                                          ,0
GIBSONBFHOTMAILCOM                                                              ,0
ADEMIR RAMIDES DIAN FALECEU                                                     ,0
ANGELAMARIA                                                                     ,0
ANGELAMARIAFCHOTMAILCOM                                                         ,0
ASEMARCARLOSYAHOOCOMBR                                                          ,0
DOUG                                                                            ,0
LAYANE                                                                          ,0
RBF                                                                             ,0
EMANUELSARRAFDEOLIVEIRA                                                         ,0
RAVIGNAAUGUSTOBRASILSILVA                                                       ,0
GRIGIACAMPOSCUNHAANDRADE                                                        ,0
MARCELOAUGUSTOLELETERRACOM                                                      ,0
CARVALHOGISLANESOARESHOTMAILC                                                   ,0
REOBSON                                                                         ,0
GALVAONT                                                                        ,0
ARIRLUCIA                                                                       ,0
FUNDACAOMPCLAROENPREENDIMENTOS                                                  ,0
CAMILASARTORHOTMAILCOM                                                          ,0
DFD                                                                             ,0
CRISTIANE CU MARTINI                                                            ,0
LETICIA G MOLINA NAO LIGAR MAIS                                                 ,0
AQUELINO                                                                        ,0
IZAQUI                                                                          ,0
BOLADINHA                                                                       ,0
PAULACRISANTOSYAHOOCOMBR                                                        ,0
DDDDDDDDDDDDDDDDDDDDDDD                                                         ,0
ANDREAZA                                                                        ,0
LIZIALACERDA                                                                    ,0
JOSEALUIZIOCOUTINHOMUNIZ                                                        ,0
CLAUDIAGISELLEGONCALVESDESOUZA                                                  ,0
SILVA                                                                           ,0
NIRES                                                                           ,0
MARIOBEDENDI                                                                    ,0
BBDTVM                                                                          ,0
GENILDOSILVA                                                                    ,0
BEATRIZGONCALVESRINALDI                                                         ,0
ELEANI                                                                          ,0
GALDINOMARTINS                                                                  ,0
DDANTERH                                                                        ,0
NIKSON                                                                          ,0
ADAGDAS                                                                         ,0
DOUGLAS FALECEU INFARTO FUMINAN                                                 ,0
CACILDO NAO TEM NESSE FONE                                                      ,0
BI                                                                              ,0
JOGAS                                                                           ,0
FALECIDO                                                                        ,0
AMIRHAMDAN                                                                      ,0
MARTONIOMOURA                                                                   ,0
ALESSNDRABIANCAMEDEIROSDESOUZA                                                  ,0
AGUINA                                                                          ,0
YAMADA                                                                          ,0
GARBIELLEGEYER                                                                  ,0
MARTEN                                                                          ,0
HOESLEY                                                                         ,0
SEIMAR                                                                          ,0
EGLAINESILVA                                                                    ,0
PABLODIEGOCARLUCHODOSSANTOS                                                     ,0
FALECIDO                                                                        ,0
FABRICIOALEXANDRE                                                               ,0
KLEIDER                                                                         ,0
JOSE DARCY GOMES XIXI                                                           ,0
HARRYSON                                                                        ,0
CIDALOPES                                                                       ,0
TESTE                                                                           ,0
JOAO BOBO Q PAULA MANDA MESMO                                                   ,0
FALECIDO FALECIDO                                                               ,0
CLIENTE FALECIDA NAO FALAR                                                      ,0
ANA NAO TEM INTERESSE DESLIGOU                                                  ,0
KOJINAKANO                                                                      ,0
LUCIANOGONZAGA                                                                  ,0
CRISTIANA HENG MIAU CHEN                                                        ,0
MARIAAPARECIDABORGESSPIRANDELLI                                                 ,0
FABEL                                                                           ,0
CLIENTE FALECIDO NAO FALAR                                                      ,0
MARIAHELENADESOUSA                                                              ,0
FASB                                                                            ,0
LEADEMELLO                                                                      ,0
ROSANGELAALBANOSILVA                                                            ,0
TESTE DE TESTE                                                                  ,0
FALECIDO                                                                        ,0
FENABRAVE                                                                       ,0
MAYARA STER NAO RECEBEU BRINDE                                                  ,0
TESTE ON LINE                                                                   ,0
TESTE ON LINE RBRANCO                                                           ,0
ROBERTAGSILVAHOTMAILCOM                                                         ,0
IZAELCERINO                                                                     ,0
DAIANARODRIGUESBELMIRO                                                          ,0
CLAUDECIRCALADO                                                                 ,0
FALECEU                                                                         ,0
FALECIDO FALECIDO                                                               ,0
JANNE FALECEU                                                                   ,0
LEANDROEDUARDOPINTO                                                             ,0
ROBERTO WAGNER TESTE MENDES                                                     ,0
NEGONA                                                                          ,0
VICENTERODRIGUESFILHO                                                           ,0
JULIADUDA                                                                       ,0
FALECIDA                                                                        ,0
SAMUEL AQUILO DE ARAUJO                                                         ,0
FIA                                                                             ,0
FALECIDA                                                                        ,0
TESTEDOIS                                                                       ,0
DULCEBERNARDELLI                                                                ,0
PAOLAFERREIRA                                                                   ,0
LACIANY                                                                         ,0
MARGARETHKORBER                                                                 ,0
M                                                                               ,0
AMAURYDEALENCARMAIA                                                             ,0
ELSSOM                                                                          ,0
LUCAS LUCAS                                                                     ,0
SABRINAINGRIDHOTMAILCOM                                                         ,0
FERNANDA BURRO MARANESI                                                         ,0
LURDINHA                                                                        ,0
LUISGERMANODEMORAESFERNANDES                                                    ,0
MARTINHAFAUSTINO                                                                ,0
LUCIANA TESTE                                                                   ,0
TESTE ONLINE LEONARDO                                                           ,0
GEANDERSON                                                                      ,0
ENEIDABARRETO                                                                   ,0
FLAVIAMARIADOCARMOCAMARERO                                                      ,0
TAILANE                                                                         ,0
FALECIDA                                                                        ,0
FALECIDO                                                                        ,0
SORRIDENTES                                                                     ,0
ANDREIALOURDESCALGARO                                                           ,0
WELHYNGTON                                                                      ,0
SILASSDRCREDHOTMAILCOM                                                          ,0
TESTE TESTE TESTE                                                               ,0
NICARVALH                                                                       ,0
ANGELAKARLADINIZMARTINS                                                         ,0
VICK                                                                            ,0
GISLLAINE                                                                       ,0
MARILULIMA                                                                      ,0
FALECIDO                                                                        ,0
IVONETEMORAISDASILVA                                                            ,0
JORGERIBEIRO                                                                    ,0
NASCIF                                                                          ,0
WANDERCLEYELLERIGCOMBR                                                          ,0
KELIPINTOROCHA                                                                  ,0
LETICIALIVIA                                                                    ,0
LUZISILVA                                                                       ,0
SHARLES                                                                         ,0
ANNETHAISESIPRIANOLINS                                                          ,0
FALECIDO                                                                        ,0
CRISTINATERRA                                                                   ,0
CARLOSROBERTOTECILAPIMENTA                                                      ,0
ANINHAALVARESAHOTMAILCOM                                                        ,0
FABIOLASCHOFFENHOTMAILCOM                                                       ,0
SILVIACAIRESSILVA                                                               ,0
PREVDENT                                                                        ,0
DINE                                                                            ,0
MICHELINHACROMOHOTMAILCOM                                                       ,0
TESTEBOLETO                                                                     ,0
KATILU                                                                          ,0
PARABENS MAMAE CAROL                                                            ,0
SALETESTOCK                                                                     ,0
JAIRORAMOSSTENERT                                                               ,0
LOURDESCOSTAPORTONUNES                                                          ,0
VANESSASIQUEIRAALENCARDEOLIVEIR                                                 ,0
ALESSANDRA CRISTINA AZEREDO BLA                                                 ,0
LAHO                                                                            ,0
NINE                                                                            ,0
MARCOSDOSSANTOSREIS                                                             ,0
ORLANGE                                                                         ,0
CLOACIR                                                                         ,0
APARECIDADASILVABRANCAGLIONEHO                                                  ,0
CHRISTIANEPORTUGAL                                                              ,0
ADNADANIELARIOSAZEVEDO                                                          ,0
FALECIDO                                                                        ,0
MARCOSJOSEEHOTMAILCOM                                                           ,0
MIRIAMCAMPOSIGCOMBR                                                             ,0
FAMI                                                                            ,0
JWS                                                                             ,0
TIAGOMARCON                                                                     ,0
QUADROSVGMAILCOM                                                                ,0
GREICESILVA                                                                     ,0
SSSSSSSSSSSSSSSSS                                                               ,0
ANA NAO QUER DESLIGOU NA FACE                                                   ,0
MAURA OTARIA DE SANTANA                                                         ,0
GUSTAVOCARBONI                                                                  ,0
TAMELA                                                                          ,0
FABIOLARODRIGUES                                                                ,0
TININHO                                                                         ,0
SINTHOSP                                                                        ,0
RODRIGO MARQUES FONES                                                           ,0
EDNOUZAEJUNIOR                                                                  ,0
LENOAMARAL                                                                      ,0
RENATAMSILVA                                                                    ,0
GLAUCEPAZIGCOMBR                                                                ,0
VILMAANGELAOBARBARO                                                             ,0
CHARLESMEDEIROS                                                                 ,0
NORLANDIADAHORASILVA                                                            ,0
AAAAAAAAAAAAAAA                                                                 ,0
FALECIDO                                                                        ,0
JISLEINE                                                                        ,0
CARLOSDASILVADIAS                                                               ,0
DIRLANE                                                                         ,0
JEHNNYS                                                                         ,0
EMANUELASANTOSFIAISLIMAMORAIS                                                   ,0
ELIANARODRIGUESBALIEIROCANGUSSU                                                 ,0
IZALENE                                                                         ,0
FALECIDA                                                                        ,0
TESTE TESTE ONLINE                                                              ,0
CLARIMILIA                                                                      ,0
CL FALECIDA NAO FALAR                                                           ,0
WOUENIFER                                                                       ,0
LUCYARA                                                                         ,0
MONIZA                                                                          ,0
ALANGOUDARD                                                                     ,0
DPS                                                                             ,0
ENEIASPEREIRABOLCOMBR                                                           ,0
PAULOROBERTOBERGENTA                                                            ,0
CLIMED                                                                          ,0
LAURICELIAOLIVEIRAYAHOOCOMBR                                                    ,0
VASCO ANTONIO P DOS LOCOS                                                       ,0
FERNANDOTVALIM                                                                  ,0
FALECIDA                                                                        ,0
ELK                                                                             ,0
FALECIDO FALECIDO                                                               ,0
WQWQIWJQIW                                                                      ,0
MARCOSSIDNEYNUNESDESOUZA                                                        ,0
AUJUSTO AUJUSTO                                                                 ,0
CEPERJ                                                                          ,0
PROTEST                                                                         ,0
CNC                                                                             ,0
UNACON                                                                          ,0
UNICEF                                                                          ,0
AGERBA                                                                          ,0
FULLPACK                                                                        ,0
INFRAERO                                                                        ,0
IVC                                                                             ,0
INFRAERO                                                                        ,0
FUNALFA                                                                         ,0
CBEE                                                                            ,0
CEPUERJ                                                                         ,0
FIPECQ                                                                          ,0
CHESF                                                                           ,0
CIESP                                                                           ,0
CIEDS                                                                           ,0
ALPAC                                                                           ,0
INBESPS                                                                         ,0
6556825700                                                                      ,0
9069712768                                                                      ,0
FUNDER                                                                          ,0
CGTF                                                                            ,0
UNICTF                                                                          ,0
SINPETRO                                                                        ,0
12617137708                                                                     ,0
HEMOBRAS                                                                        ,0
SEDHAB                                                                          ,0
EU MESMO                                                                        ,0
DURAN DURAN                                                                     ,0
DDDD EEEE                                                                       ,0
ELLIHASCINCO                                                                    ,0
PRISCILA VAI TOMAR NO CU                                                        ,0
XPTO XPTO                                                                       ,0
FDMM LK                                                                         ,0
KAIO TESTE                                                                      ,0
DAKKAR DAKKAR                                                                   ,0
PATRIOTA MAS NAO IDIOTA                                                         ,0
TONAL TONAL                                                                     ,0
EU OAO OLFKROFKJROJCOJF                                                         ,0
SEM NOME                                                                        ,0
EU DA SILVA SAURO                                                               ,0
BURACO LOKO                                                                     ,0
MAURAO MAURAO                                                                   ,0
JOSE SEVERIANO ESPOSO SIERRA                                                    ,0
EU AMO MEU BEN                                                                  ,0
TTTT TTTT                                                                       ,0
TEU CU                                                                          ,0
FALECIDO                                                                        ,0
CC                                                                              ,0
ADELSONBARRETODASILVA                                                           ,0
NOME COMPLETO                                                                   ,0
VIVINICHOTMAILCOM                                                               ,0
DORAREGINAFLAMADLER                                                             ,0
LMMF                                                                            ,0
TESTE                                                                           ,0
PERICLES FALECIDOOOO                                                            ,0
LIXO SITES                                                                      ,0
MONTEIRO                                                                        ,0
HHBBKK HHJJHF                                                                   ,0
VBNBCN                                                                          ,0
NAO ENTERECCA                                                                   ,0
KPPO POOOO                                                                      ,0
VCVVCVCVC                                                                       ,0
BUNDA LELE                                                                      ,0
USUARIO                                                                         ,0
NNNNNNNNNNN                                                                     ,0
ALEXANDRE ALEXANDRE                                                             ,0
SOMENTE ALGUEM                                                                  ,0
JOE JOE                                                                         ,0
GISELLE TESTE NEWSLETTER                                                        ,0
EU TU ELE NOS                                                                   ,0
ZEN ZEN                                                                         ,0
ALGUEM BONITO                                                                   ,0
MOD MOD                                                                         ,0
MACHADO                                                                         ,0
LOGOCHEF                                                                        ,0
FERNANDOVASTOHOTMAILCOM                                                         ,0
TESTEPRD01 TESTE                                                                ,0
TESTEPRD02 TESTE                                                                ,0
JAQUELINEFERREIRAMATTOS                                                         ,0
TESTEPRD08 TESTE                                                                ,0
TESTEPRD09 TESTE                                                                ,0
TESTEPRD10 TESTE                                                                ,0
AMILANIR                                                                        ,0
CLIPPINGTV                                                                      ,0
DEGUSTACAO04 TESTE                                                              ,0
TESTEDEG11 TESTE                                                                ,0
DF DFH HGD                                                                      ,0
SHOPPING SEXY                                                                   ,0
TESTE USUARIO                                                                   ,0
BAHIACLIP                                                                       ,0
TUBO TUBO                                                                       ,0
IZA TRICOLOR                                                                    ,0
XXXXXXXXXXXXXXXXX                                                               ,0
MARIACONSUELOLOPEZ                                                              ,0
MARI MARI                                                                       ,0
WALDIRDOSSANTOSCUNHA                                                            ,0
GLOBO VAI TOMAR NO SEU CU                                                       ,0
LUC LUC                                                                         ,0
HELVIO LOUCO                                                                    ,0
NONO NONO                                                                       ,0
DRAX                                                                            ,0
NOME SEMPRE NOME                                                                ,0
XXXXXXXX                                                                        ,0
FUI EU                                                                          ,0
CRISTINA CRISTINA                                                               ,0
TORO LOCO                                                                       ,0
MEU NOME                                                                        ,0
ASDNER ASDNER                                                                   ,0
CORISKLEY CORISKLEY                                                             ,0
LETICIA MARIA NAO PODE GASTAR                                                   ,0
EU MESMO                                                                        ,0
ROBSON TESTE 11                                                                 ,0
ROBSON TESTE 14                                                                 ,0
TESTE NOVO                                                                      ,0
TESTE IG 10                                                                     ,0
TESTE IG                                                                        ,0
TESTE IG 10                                                                     ,0
PEGEPLAN                                                                        ,0
MR GST MFR                                                                      ,0
JHGJHGJHGJ MJHHK                                                                ,0
TESTE IG 13                                                                     ,0
EU MESMO EU                                                                     ,0
JUNIOR JUNIOR                                                                   ,0
ROBSON TESTE 15                                                                 ,0
A MESMA DE SEMPRE                                                               ,0
SANBIRMAN                                                                       ,0
HJHJHJ                                                                          ,0
JOINUS TESTE                                                                    ,0
WALLACE WALLACE                                                                 ,0
WALKING DEATH                                                                   ,0
GRIZO GRIZO                                                                     ,0
JAAAAY TEEEEE                                                                   ,0
TESTEPERF TESTE PERFORMANCE                                                     ,0
TESTE ROCK                                                                      ,0
TESTEFINAL2 TESTE PARA TELA DE CADASTRO INCENTIVADO                             ,0
MTD22                                                                           ,0
EU MESMO                                                                        ,0
RICARDOSANTOSLOBO                                                               ,0
RIBEIRO                                                                         ,0
VAI TOMAR NO CU                                                                 ,0
JOSE JOSE                                                                       ,0
EU RIBEIRO                                                                      ,0
BHBKJBKJBJHBHJBJKBJKHBJHBH                                                      ,0
MBR MBR MBR                                                                     ,0
BRUNO TRICOLOR                                                                  ,0
FERNANDASANTOS                                                                  ,0
NAO INTERESSA                                                                   ,0
F FAAAA                                                                         ,0
LWSD LWSD                                                                       ,0
20270210                                                                        ,0
AAAAAAAAAA                                                                      ,0
ANTA NIO MARCOS ROCHA PORCIUNCULA DA SILVA                                      ,0
BLAH BICHO CHATO DA PORRA                                                       ,0
SIMONE MARIA FONES                                                              ,0
NOME E DATA                                                                     ,0
TGSFH HHC HGC                                                                   ,0
RAMON FRANCISCO AMARAL FALECEU                                                  ,0
FILHO DA PUTA                                                                   ,0
GLUB GLUB                                                                       ,0
TEO TEO                                                                         ,0
GALO DOIDO                                                                      ,0
ASSOCEDUCEVANGLUTERANA                                                          ,0
